AP名称,Mac地址,X坐标,Y坐标,AP类型,AP型号,阀值类型,STA RSSI阀值,标签RSSI阀值,POI参考RSSI阀值
SP-4F-6,70:65:82:E1:28:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-26,70:65:82:E2:6C:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-27,70:65:82:E1:D0:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-3,70:65:82:E1:18:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-4,70:65:82:E1:F0:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-29,70:65:82:E1:CB:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-31,70:65:82:E1:22:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-9,70:65:82:E1:CE:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-10,70:65:82:E1:E0:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-11,70:65:82:FD:B7:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-13,70:65:82:E2:14:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-14,70:65:82:E1:F7:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-7,70:65:82:E1:79:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-12,70:65:82:E1:42:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-25,70:65:82:E1:AF:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-24,70:65:82:E2:0D:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-23,70:65:82:E2:56:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-22,70:65:82:E2:7C:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-21,70:65:82:E2:48:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-20,70:65:82:E2:63:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-18,70:65:82:E1:14:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-4F-15,70:65:82:E1:15:D0,0,0,WiFi,,系统默认,-55,-50,-55
