AP名称,Mac地址,X坐标,Y坐标,AP类型,AP型号,阀值类型,STA RSSI阀值,标签RSSI阀值,POI参考RSSI阀值
SP-B2-3,70:65:82:E1:F3:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B2-34,70:65:82:E1:D8:D0,0,0,WiFi,,系统默认,-55,-50,-55
