AP名称,Mac地址,X坐标,Y坐标,AP类型,AP型号,阀值类型,STA RSSI阀值,标签RSSI阀值,POI参考RSSI阀值
GQ-3F-2,70:65:82:E1:2C:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-3F-3,70:65:82:E1:07:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-3F-4,70:65:82:E1:3E:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-3F-5,70:65:82:E1:BF:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-3F-6,70:65:82:E1:3F:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-3F-7,70:65:82:E1:F9:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-3F-8,70:65:82:E0:F6:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-3F-9,70:65:82:E1:4D:D0,0,0,WiFi,,系统默认,-55,-50,-55
