AP名称,Mac地址,X坐标,Y坐标,AP类型,AP型号,阀值类型,STA RSSI阀值,标签RSSI阀值,POI参考RSSI阀值
SP-5F-2,70:65:82:E1:48:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-5F-3,70:65:82:E1:91:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-5F-4,70:65:82:E1:5E:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-5F-5,70:65:82:E2:07:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-5F-6,70:65:82:E1:A3:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-5F-5,70:65:82:E1:E0:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-5F-05-5F,70:65:82:E1:F1:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-5F-6,70:65:82:E1:1E:D0,0,0,WiFi,,系统默认,-55,-50,-55
